,kidneySRR8374780,kidneySRR8374781,liverSRR8374774,liverSRR8374775,lungSRR8374778,lungSRR8374779,sIntestineSRR8374776,sIntestineSRR8374777
ENSMUSG00000089208,0,0,0,0,0,0,0,0
ENSMUSG00000089209,0,0,0,0,0,0,0,0
ENSMUSG00000089210,0,0,0,0,0,0,0,0
ENSMUSG00000089211,0,0,0,0,0,0,0,0
ENSMUSG00000089213,0,0,0,0,0,0,0,0
ENSMUSG00000089214,0,0,0,0,0,0,0,0
ENSMUSG00000089217,0,0,0,0,0,0,0,0
ENSMUSG00000089218,0,0,0,0,0,0,0,0
ENSMUSG00000089219,0,0,0,0,0,0,0,0
ENSMUSG00000089220,0,0,0,0,0,0,0,0
ENSMUSG00000089222,0,0,0,0,0,0,0,0
ENSMUSG00000089223,0,0,0,0,0,0,0,0
ENSMUSG00000089224,0,0,0,0,0,0,0,0
ENSMUSG00000089226,0,0,0,0,0,0,0,0
ENSMUSG00000089227,0,0,0,0,0,0,0,0
ENSMUSG00000089228,0,0,0,0,0,0,0,0
ENSMUSG00000089229,0,0,0,0,0,0,0,0
ENSMUSG00000089230,0,0,0,0,0,0,0,0
ENSMUSG00000089231,0,0,0,0,0,0,0,0
ENSMUSG00000089233,0,0,0,0,0,0,0,0
ENSMUSG00000089234,0,0,0,0,0,0,0,0
ENSMUSG00000089235,2,0,3,1,1,3,4,3
ENSMUSG00000089237,0,0,0,0,0,0,0,0
ENSMUSG00000089239,0,0,0,0,0,0,0,0
ENSMUSG00000089241,0,0,0,0,0,0,0,0
ENSMUSG00000089242,0,0,0,0,0,0,0,0
ENSMUSG00000089244,0,0,0,0,0,0,0,0
ENSMUSG00000089245,0,0,0,0,0,0,0,0
ENSMUSG00000089247,0,0,0,0,0,0,0,0
ENSMUSG00000089248,0,0,0,0,0,0,0,0
ENSMUSG00000089250,0,0,0,0,0,0,0,0
ENSMUSG00000089251,0,0,0,0,0,0,0,0
ENSMUSG00000089252,0,0,0,0,0,0,0,0
ENSMUSG00000089253,0,0,0,0,0,0,0,0
ENSMUSG00000089255,0,0,0,0,0,0,0,0
ENSMUSG00000089256,0,0,0,0,0,0,0,0
ENSMUSG00000089257,0,0,0,0,0,0,0,0
ENSMUSG00000089258,0,0,0,0,0,0,0,0
ENSMUSG00000089259,0,0,0,0,0,0,0,0
ENSMUSG00000089260,0,0,0,0,0,0,0,0
ENSMUSG00000089261,0,0,0,0,0,0,0,0
ENSMUSG00000089262,0,0,0,0,0,0,0,0
ENSMUSG00000089263,0,0,0,0,0,0,0,0
ENSMUSG00000089264,0,0,0,0,0,0,0,0
ENSMUSG00000089265,0,0,0,0,0,0,0,0
ENSMUSG00000089266,0,0,0,0,0,0,0,0
ENSMUSG00000089267,0,2,0,0,0,1,0,0
ENSMUSG00000089268,0,0,0,0,0,0,0,0
ENSMUSG00000089269,0,0,0,0,0,0,0,0
ENSMUSG00000089270,0,0,0,0,0,0,0,0
ENSMUSG00000089271,0,0,0,0,0,0,0,0
ENSMUSG00000089272,0,0,0,0,0,0,0,0
ENSMUSG00000089273,0,0,0,0,0,0,0,0
ENSMUSG00000089274,0,0,0,0,0,0,0,0
ENSMUSG00000089275,0,0,0,0,0,0,0,0
ENSMUSG00000089276,0,0,0,0,0,0,0,0
ENSMUSG00000089277,0,0,0,0,0,0,0,0
ENSMUSG00000089278,0,0,0,0,0,0,0,0
ENSMUSG00000089279,0,0,0,0,0,0,0,0
ENSMUSG00000089280,0,0,0,0,0,0,0,0
ENSMUSG00000089281,0,0,0,0,0,0,0,0
ENSMUSG00000089282,0,0,0,0,0,0,0,0
ENSMUSG00000089284,0,0,0,0,0,0,0,0
ENSMUSG00000089285,0,0,0,0,0,0,0,0
ENSMUSG00000089286,0,0,0,0,0,0,0,0
ENSMUSG00000089287,0,0,0,0,0,0,0,0
ENSMUSG00000089288,0,0,0,0,0,0,0,0
ENSMUSG00000089289,0,0,0,0,0,0,0,0
ENSMUSG00000089290,0,0,0,0,0,0,0,0
ENSMUSG00000089291,0,0,0,0,0,0,0,0
ENSMUSG00000089292,0,0,0,0,0,0,0,0
ENSMUSG00000089293,0,0,0,0,0,0,0,0
ENSMUSG00000089294,0,0,0,0,0,0,0,0
ENSMUSG00000089296,0,0,0,0,0,0,0,0
ENSMUSG00000089297,0,0,0,0,0,0,0,0
ENSMUSG00000089298,0,0,0,0,0,0,0,0
ENSMUSG00000089299,0,0,0,0,0,0,0,0
ENSMUSG00000089301,0,0,0,0,0,0,0,0
ENSMUSG00000089302,0,0,0,0,0,0,0,0
ENSMUSG00000089304,0,0,0,0,0,0,0,0
ENSMUSG00000089305,0,0,0,0,0,0,0,0
ENSMUSG00000089306,0,0,0,0,0,0,0,0
ENSMUSG00000089307,0,0,0,0,0,0,0,0
ENSMUSG00000089308,0,0,0,0,0,0,0,0
ENSMUSG00000089309,0,0,0,0,0,0,0,0
ENSMUSG00000089310,0,0,0,0,0,0,0,0
ENSMUSG00000089311,0,0,0,0,0,0,0,0
ENSMUSG00000089312,0,0,0,0,0,0,0,0
ENSMUSG00000089313,0,0,0,0,0,0,0,0
ENSMUSG00000089314,0,0,0,0,0,0,0,0
ENSMUSG00000089316,0,0,0,0,0,0,0,0
ENSMUSG00000089317,0,0,0,0,0,0,0,0
ENSMUSG00000089318,0,0,0,0,0,0,0,0
ENSMUSG00000089320,0,0,0,0,0,0,0,0
ENSMUSG00000089321,0,0,0,0,0,0,0,0
ENSMUSG00000089322,0,0,0,0,0,0,0,0
ENSMUSG00000089323,0,0,0,0,0,0,0,0
ENSMUSG00000089324,0,0,0,0,0,0,0,0
ENSMUSG00000089326,0,0,0,0,0,0,0,0
ENSMUSG00000089327,0,0,0,0,0,0,0,0
ENSMUSG00000089331,0,0,0,0,0,0,0,0
ENSMUSG00000089333,0,0,0,0,0,0,0,0
ENSMUSG00000089334,0,0,0,0,0,0,0,0
ENSMUSG00000089335,0,0,0,0,0,0,0,0
ENSMUSG00000089336,0,0,0,0,0,0,0,0
ENSMUSG00000089337,0,0,0,0,0,0,0,0
ENSMUSG00000089338,0,0,0,0,0,0,0,0
ENSMUSG00000089341,0,0,0,0,0,0,0,0
ENSMUSG00000089342,0,0,0,0,0,0,0,0
ENSMUSG00000089343,0,0,0,0,0,0,0,0
ENSMUSG00000089344,0,0,0,0,0,0,0,0
ENSMUSG00000089345,0,0,0,0,0,0,0,0
ENSMUSG00000089346,0,0,0,0,0,0,0,0
ENSMUSG00000089348,0,0,0,0,0,0,0,0
ENSMUSG00000089349,0,0,0,0,0,0,0,0
ENSMUSG00000089350,0,0,0,0,0,0,0,0
ENSMUSG00000089351,0,0,0,0,0,0,0,0
ENSMUSG00000089352,0,0,0,0,0,0,0,0
ENSMUSG00000089353,0,0,0,0,0,0,0,0
ENSMUSG00000089357,0,0,0,0,0,0,0,0
ENSMUSG00000089358,0,0,0,0,0,0,0,0
ENSMUSG00000089359,0,0,0,0,0,0,0,0
ENSMUSG00000089363,0,0,0,0,0,0,0,0
ENSMUSG00000089364,0,0,0,0,0,0,0,0
ENSMUSG00000089365,0,0,0,0,0,0,0,0
ENSMUSG00000089366,0,0,0,0,0,0,1,0
ENSMUSG00000089369,0,0,0,0,0,0,0,0
ENSMUSG00000089370,0,0,0,0,0,0,0,0
ENSMUSG00000089371,0,0,0,0,0,0,0,0
ENSMUSG00000089372,0,0,0,0,0,0,0,0
ENSMUSG00000089373,0,0,0,0,0,0,0,0
ENSMUSG00000089375,0,0,0,0,0,0,0,0
ENSMUSG00000089376,0,0,0,0,0,0,0,0
ENSMUSG00000089377,0,0,0,0,0,0,0,0
ENSMUSG00000089380,0,0,0,0,0,0,0,0
ENSMUSG00000089381,0,0,0,0,0,0,0,0
ENSMUSG00000089382,0,0,0,0,0,0,0,0
ENSMUSG00000089383,0,0,0,0,0,0,0,0
ENSMUSG00000089384,0,0,0,0,0,0,0,0
ENSMUSG00000089385,0,0,0,0,0,0,0,0
ENSMUSG00000089387,0,0,0,0,0,0,0,0
ENSMUSG00000089389,0,0,0,0,0,0,0,0
ENSMUSG00000089390,0,0,0,0,0,0,0,0
ENSMUSG00000089391,0,1,0,0,0,0,0,0
ENSMUSG00000089392,0,0,0,0,0,0,0,0
ENSMUSG00000089393,0,0,0,0,0,0,0,0
ENSMUSG00000089394,0,0,0,0,0,0,0,0
ENSMUSG00000089395,0,0,0,0,0,0,0,0
ENSMUSG00000089396,0,0,0,0,0,0,0,0
ENSMUSG00000089397,0,0,0,0,0,0,0,0
ENSMUSG00000089398,0,0,0,0,0,0,0,0
ENSMUSG00000089399,0,0,0,0,0,0,0,0
ENSMUSG00000089401,0,0,0,0,0,1,0,0
ENSMUSG00000089404,0,1,0,0,0,0,0,0
ENSMUSG00000089405,0,0,0,0,0,0,0,0
ENSMUSG00000089406,0,0,0,0,0,0,0,0
ENSMUSG00000089407,0,0,0,0,0,0,0,0
ENSMUSG00000089408,0,0,0,0,0,0,0,0
ENSMUSG00000089409,0,0,0,0,0,0,0,0
ENSMUSG00000089410,0,0,0,0,0,0,0,0
ENSMUSG00000089413,0,0,0,0,0,0,0,0
ENSMUSG00000089414,0,0,0,0,0,0,0,0
ENSMUSG00000089415,0,0,0,0,0,0,0,0
ENSMUSG00000089416,0,0,0,0,0,0,0,0
ENSMUSG00000089417,0,0,0,0,0,0,0,0
ENSMUSG00000089418,0,0,0,0,0,0,0,0
ENSMUSG00000089420,0,0,0,0,0,0,0,0
ENSMUSG00000089422,0,0,0,0,0,0,1,0
ENSMUSG00000089423,0,0,0,0,0,0,0,0
ENSMUSG00000089424,0,0,0,0,0,0,0,0
ENSMUSG00000089425,0,0,0,0,0,0,0,0
ENSMUSG00000089427,0,0,0,0,0,0,0,0
ENSMUSG00000089429,0,0,0,0,0,0,0,0
ENSMUSG00000089431,0,0,0,0,0,0,0,0
ENSMUSG00000089432,0,0,0,0,0,0,0,0
ENSMUSG00000089434,0,0,0,0,0,0,0,0
ENSMUSG00000089436,0,0,0,0,0,0,0,0
ENSMUSG00000089437,0,0,0,0,0,0,0,0
ENSMUSG00000089438,0,0,0,0,0,0,0,0
ENSMUSG00000089439,0,0,0,0,0,0,0,0
ENSMUSG00000089441,0,0,0,0,0,0,0,0
ENSMUSG00000089442,0,0,0,0,0,0,0,0
ENSMUSG00000089443,0,0,0,0,0,0,0,0
ENSMUSG00000089444,0,0,0,0,0,0,0,0
ENSMUSG00000089445,0,0,0,0,0,0,0,0
ENSMUSG00000089446,0,0,0,0,0,0,0,0
ENSMUSG00000089447,0,0,0,0,0,0,0,0
ENSMUSG00000089450,0,0,0,0,0,0,0,0
ENSMUSG00000089451,0,0,0,0,0,0,0,0
ENSMUSG00000089452,0,0,0,0,0,0,0,0
ENSMUSG00000089453,0,0,0,0,0,0,0,0
ENSMUSG00000089454,0,0,0,0,0,0,0,0
ENSMUSG00000089455,0,0,0,0,0,0,0,0
ENSMUSG00000089458,0,0,0,0,0,0,0,0
ENSMUSG00000089459,0,0,0,0,0,0,0,0
ENSMUSG00000089460,0,0,0,0,0,0,0,0
ENSMUSG00000089461,0,0,0,0,0,0,0,0
ENSMUSG00000089462,0,0,0,0,0,0,0,0
ENSMUSG00000089464,0,0,0,0,0,0,0,0
ENSMUSG00000089465,0,0,0,0,0,0,0,0
ENSMUSG00000089467,0,0,0,0,0,0,0,0
ENSMUSG00000089468,0,0,0,0,0,0,0,0
ENSMUSG00000089469,0,0,0,0,0,0,0,0
ENSMUSG00000089470,0,0,0,0,0,0,0,0
ENSMUSG00000089471,0,0,0,0,0,0,0,0
ENSMUSG00000089472,0,0,0,0,0,0,0,0
ENSMUSG00000089473,0,0,0,0,0,0,0,0
ENSMUSG00000089475,0,0,0,0,0,0,0,0
ENSMUSG00000089476,0,0,0,0,0,0,0,0
ENSMUSG00000089477,0,0,0,0,0,0,0,0
ENSMUSG00000089479,0,0,0,0,0,0,0,0
ENSMUSG00000089480,0,0,0,0,0,0,0,0
ENSMUSG00000089481,0,0,0,0,0,0,0,0
ENSMUSG00000089482,0,0,0,0,0,0,0,0
ENSMUSG00000089484,0,0,0,0,0,0,0,0
ENSMUSG00000089485,0,0,0,0,0,0,0,0
ENSMUSG00000089486,0,2,0,0,0,0,0,0
ENSMUSG00000089487,0,0,0,0,0,0,0,0
ENSMUSG00000089488,0,0,0,0,0,0,0,0
ENSMUSG00000089489,0,0,0,0,0,0,0,0
ENSMUSG00000089490,0,0,0,0,0,0,0,0
ENSMUSG00000089491,0,0,0,0,0,0,0,0
ENSMUSG00000089493,0,0,0,0,0,0,0,0
ENSMUSG00000089497,0,0,0,0,0,0,0,0
ENSMUSG00000089498,0,0,0,0,0,0,0,0
ENSMUSG00000089499,0,0,0,0,0,0,0,0
ENSMUSG00000089501,0,0,0,0,0,0,0,0
ENSMUSG00000089504,0,0,0,0,0,0,0,0
ENSMUSG00000089506,0,0,0,0,0,0,0,0
ENSMUSG00000089507,0,0,0,0,0,0,0,0
ENSMUSG00000089508,0,0,0,0,0,0,0,0
ENSMUSG00000089509,0,0,0,0,0,0,0,0
ENSMUSG00000089510,0,0,0,0,0,0,0,0
ENSMUSG00000089512,0,0,0,0,0,0,0,0
ENSMUSG00000089513,0,0,0,0,0,0,0,0
ENSMUSG00000089514,0,0,0,0,0,0,0,0
ENSMUSG00000089516,0,0,0,0,0,0,0,0
ENSMUSG00000089517,0,0,0,0,0,0,0,0
ENSMUSG00000089520,0,0,0,0,0,0,0,0
ENSMUSG00000089522,0,0,0,0,0,0,0,1
ENSMUSG00000089524,0,0,0,0,0,0,0,0
ENSMUSG00000089525,0,0,0,0,0,0,0,0
ENSMUSG00000089528,0,0,0,0,0,0,0,0
ENSMUSG00000089529,0,0,0,0,0,0,0,0
ENSMUSG00000089530,0,0,0,0,0,0,0,0
ENSMUSG00000089531,0,0,0,0,0,0,0,0
ENSMUSG00000089533,0,0,0,0,0,0,0,0
ENSMUSG00000089534,0,0,0,0,0,0,0,0
ENSMUSG00000089536,0,0,0,0,0,0,0,0
ENSMUSG00000089538,0,0,0,0,0,0,0,0
ENSMUSG00000089539,0,0,0,0,0,0,0,0
ENSMUSG00000089541,0,0,0,0,0,0,0,0
ENSMUSG00000089542,0,0,0,0,0,0,0,0
ENSMUSG00000089543,0,0,0,0,0,0,0,0
ENSMUSG00000089544,0,0,0,0,0,0,0,0
ENSMUSG00000089545,0,0,0,0,0,0,0,0
ENSMUSG00000089546,0,0,0,0,0,0,0,0
ENSMUSG00000089548,0,0,0,0,0,0,0,0
ENSMUSG00000089549,0,0,0,0,0,0,0,0
ENSMUSG00000089550,0,0,0,0,0,0,0,0
ENSMUSG00000089551,0,0,0,0,0,0,0,0
ENSMUSG00000089552,0,0,0,0,0,0,0,0
ENSMUSG00000089553,0,0,0,0,0,0,0,0
ENSMUSG00000089555,0,0,0,0,0,0,0,0
ENSMUSG00000089556,0,0,0,0,0,0,0,0
ENSMUSG00000089558,0,0,0,0,0,0,0,0
ENSMUSG00000089560,0,0,0,0,0,0,0,0
ENSMUSG00000089561,0,0,0,0,0,0,0,0
ENSMUSG00000089562,0,0,0,0,0,0,0,0
ENSMUSG00000089563,0,0,0,0,0,0,0,0
ENSMUSG00000089564,0,0,0,0,0,0,0,0
ENSMUSG00000089570,0,0,0,0,0,0,0,0
ENSMUSG00000089571,0,0,0,0,0,0,0,0
ENSMUSG00000089575,0,0,0,0,0,0,0,0
ENSMUSG00000089576,0,0,0,0,0,0,0,0
ENSMUSG00000089578,0,0,0,0,0,0,0,0
ENSMUSG00000089580,0,0,0,2,0,0,0,0
ENSMUSG00000089581,0,0,0,0,0,0,0,1
ENSMUSG00000089583,0,0,0,0,0,0,0,0
ENSMUSG00000089584,0,0,0,0,0,0,0,0
ENSMUSG00000089585,0,0,0,0,0,0,0,0
ENSMUSG00000089586,0,0,0,0,0,0,0,0
ENSMUSG00000089587,0,0,0,0,0,0,0,0
ENSMUSG00000089588,0,0,0,0,0,0,0,0
ENSMUSG00000089589,0,0,0,0,0,0,0,0
ENSMUSG00000089590,0,0,0,0,0,0,0,0
ENSMUSG00000089591,0,0,0,0,0,0,0,0
ENSMUSG00000089593,0,0,0,0,0,0,0,0
ENSMUSG00000089596,0,0,0,0,0,0,0,0
ENSMUSG00000089597,0,0,0,0,0,0,0,0
ENSMUSG00000089598,0,0,0,0,0,0,0,0
ENSMUSG00000089599,0,0,0,0,0,0,0,0
ENSMUSG00000089601,0,0,0,0,0,0,0,0
ENSMUSG00000089603,0,0,0,0,0,0,0,0
ENSMUSG00000089605,0,0,0,0,0,0,0,0
ENSMUSG00000089606,0,0,0,0,0,0,0,0
ENSMUSG00000089607,0,0,0,0,0,0,0,0
ENSMUSG00000089608,0,0,0,0,0,0,0,0
ENSMUSG00000089609,0,0,0,0,0,0,0,0
ENSMUSG00000089610,0,0,0,0,0,0,0,0
ENSMUSG00000089612,0,0,0,0,0,0,0,0
ENSMUSG00000089613,0,0,0,0,0,0,0,0
ENSMUSG00000089614,0,0,0,0,0,0,0,0
ENSMUSG00000089615,0,0,0,0,0,0,0,0
ENSMUSG00000089616,0,0,0,0,0,0,0,0
ENSMUSG00000089617,0,0,0,0,0,0,0,0
ENSMUSG00000089618,0,0,0,0,0,0,0,0
ENSMUSG00000089619,0,0,0,0,0,0,0,0
ENSMUSG00000089621,0,0,0,0,0,0,0,0
ENSMUSG00000089622,0,0,0,0,0,0,0,0
ENSMUSG00000089624,0,0,0,0,0,0,0,0
ENSMUSG00000089625,0,0,0,0,0,0,0,0
ENSMUSG00000089627,0,0,0,0,0,0,0,0
ENSMUSG00000089628,0,0,0,0,0,0,0,0
ENSMUSG00000089630,0,0,0,0,0,0,0,0
ENSMUSG00000089631,0,0,0,0,0,0,0,0
ENSMUSG00000089633,0,0,0,0,0,0,0,0
ENSMUSG00000089634,3,2,1,0,0,1,0,2
ENSMUSG00000089635,4,20,26,29,1,8,10,11
ENSMUSG00000089636,0,0,0,0,0,0,0,0
ENSMUSG00000089639,0,0,0,0,0,0,0,0
ENSMUSG00000089640,0,0,0,0,0,0,0,0
ENSMUSG00000089642,0,0,0,0,0,0,0,0
ENSMUSG00000089643,0,0,0,0,0,0,0,0
ENSMUSG00000089645,0,0,0,0,0,0,0,0
ENSMUSG00000089646,1,0,0,0,1,1,0,0
ENSMUSG00000089647,0,0,0,0,0,0,0,0
ENSMUSG00000089648,0,0,0,0,0,0,0,0
ENSMUSG00000089651,0,0,0,0,0,0,0,0
ENSMUSG00000089652,0,0,0,0,1,4,0,0
ENSMUSG00000089653,0,0,0,0,0,0,0,0
ENSMUSG00000089654,0,0,0,0,0,0,0,0
ENSMUSG00000089655,5,13,0,0,2,1,1,0
ENSMUSG00000089656,1,0,0,0,2,4,0,2
ENSMUSG00000089657,0,0,0,0,0,0,0,0
ENSMUSG00000089659,0,0,0,0,0,0,0,0
ENSMUSG00000089661,0,0,0,0,0,0,0,1
ENSMUSG00000089662,0,0,0,0,0,0,0,0
ENSMUSG00000089663,0,0,0,0,0,0,0,0
ENSMUSG00000089664,0,0,0,1,1,0,0,0
ENSMUSG00000089665,2,11,13,2,20,30,2,3
ENSMUSG00000089666,0,0,0,0,0,0,0,0
ENSMUSG00000089667,0,0,0,0,0,0,0,0
ENSMUSG00000089669,0,0,0,0,0,0,0,0
ENSMUSG00000089670,0,0,1,0,0,1,0,1
ENSMUSG00000089671,2,1,0,0,1,4,0,2
ENSMUSG00000089673,0,0,0,0,0,0,0,0
ENSMUSG00000089675,0,0,0,0,0,0,0,0
ENSMUSG00000089678,1613,2544,1231,1545,8,3,17,12
ENSMUSG00000089679,0,0,0,0,0,0,0,0
ENSMUSG00000089680,0,0,0,0,0,0,0,0
ENSMUSG00000089682,0,0,0,0,0,0,0,0
ENSMUSG00000089683,0,0,0,0,0,0,0,0
ENSMUSG00000089684,0,0,0,0,0,0,0,0
ENSMUSG00000089685,0,0,0,0,0,0,0,0
ENSMUSG00000089686,0,0,0,0,0,0,0,0
ENSMUSG00000089687,20,28,1,1,4,5,1,0
ENSMUSG00000089689,0,0,0,0,0,0,0,0
ENSMUSG00000089690,0,1,0,0,1,0,1,0
ENSMUSG00000089694,16,31,1,1,13,15,0,0
ENSMUSG00000089695,1,2,2,0,3,0,5,1
ENSMUSG00000089696,0,0,0,0,0,0,0,0
ENSMUSG00000089697,0,0,0,0,0,0,0,0
ENSMUSG00000089698,2,1,0,0,0,1,0,0
ENSMUSG00000089699,0,0,0,0,0,0,0,0
ENSMUSG00000089700,0,0,0,0,0,0,0,0
ENSMUSG00000089701,0,0,0,0,0,0,0,0
ENSMUSG00000089702,0,0,0,0,0,0,0,0
ENSMUSG00000089703,0,0,0,0,0,0,0,0
ENSMUSG00000089704,0,0,0,0,0,0,0,0
ENSMUSG00000089705,0,0,0,0,0,0,0,0
ENSMUSG00000089706,0,0,0,0,0,0,0,0
ENSMUSG00000089707,0,0,0,0,0,0,0,0
ENSMUSG00000089708,0,0,0,0,0,0,0,0
ENSMUSG00000089709,0,0,0,0,0,0,0,0
ENSMUSG00000089710,0,0,0,0,0,0,0,0
ENSMUSG00000089711,0,0,0,0,0,0,0,0
ENSMUSG00000089712,32,201,10,3,14,13,5,2
ENSMUSG00000089713,0,0,0,0,0,0,0,0
ENSMUSG00000089714,0,0,0,0,0,0,0,0
ENSMUSG00000089715,0,0,0,0,0,0,0,0
ENSMUSG00000089716,0,0,0,0,0,0,0,0
ENSMUSG00000089717,0,0,0,0,0,0,0,0
ENSMUSG00000089718,0,0,0,0,0,0,0,0
ENSMUSG00000089719,0,0,0,0,0,0,0,0
ENSMUSG00000089722,0,1,0,0,0,0,0,0
ENSMUSG00000089723,0,0,0,0,0,0,0,0
ENSMUSG00000089724,0,0,0,0,0,0,0,0
ENSMUSG00000089726,26,78,27,47,143,212,137,111
ENSMUSG00000089727,0,0,0,0,67,122,0,1
ENSMUSG00000089728,0,0,0,0,0,1,0,0
ENSMUSG00000089729,0,0,0,0,0,0,0,0
ENSMUSG00000089730,0,0,0,0,0,0,0,0
ENSMUSG00000089731,0,0,0,0,0,0,0,0
ENSMUSG00000089732,0,0,0,0,0,0,0,0
ENSMUSG00000089733,0,0,0,0,0,0,0,0
ENSMUSG00000089735,0,0,0,0,0,0,0,0
ENSMUSG00000089736,0,0,0,0,0,0,0,0
ENSMUSG00000089737,0,0,0,0,1,1,0,0
ENSMUSG00000089739,16,64,3,10,7,13,6,2
ENSMUSG00000089742,0,0,0,0,0,0,0,0
ENSMUSG00000089743,0,0,0,0,0,0,0,0
ENSMUSG00000089744,0,0,0,0,0,0,0,0
ENSMUSG00000089745,0,0,0,0,0,0,0,0
ENSMUSG00000089746,0,0,0,0,0,0,0,0
ENSMUSG00000089748,0,0,0,0,0,0,1,0
ENSMUSG00000089749,0,0,0,0,0,0,0,0
ENSMUSG00000089753,0,0,0,0,0,1,0,0
ENSMUSG00000089754,0,0,0,0,0,0,0,0
ENSMUSG00000089755,0,0,0,0,0,0,0,0
ENSMUSG00000089756,0,0,0,0,1,0,0,0
ENSMUSG00000089757,0,0,0,0,0,0,0,0
ENSMUSG00000089759,0,4,0,2,12,5,4,1
ENSMUSG00000089760,0,0,0,0,0,0,0,0
ENSMUSG00000089761,0,0,0,0,0,0,0,0
ENSMUSG00000089762,103,120,4,5,118,87,14,11
ENSMUSG00000089764,0,0,0,0,0,0,0,0
ENSMUSG00000089766,0,0,0,0,0,0,0,0
ENSMUSG00000089767,0,0,0,0,0,0,0,0
ENSMUSG00000089768,0,0,0,0,0,0,0,0
ENSMUSG00000089769,0,0,0,0,0,0,0,0
ENSMUSG00000089771,0,0,0,0,0,0,0,0
ENSMUSG00000089773,0,0,0,0,3,5,0,0
ENSMUSG00000089774,0,0,0,0,0,0,0,0
ENSMUSG00000089775,0,0,0,0,0,0,0,0
ENSMUSG00000089776,0,0,0,0,0,0,0,0
ENSMUSG00000089779,0,0,0,0,0,0,0,0
ENSMUSG00000089780,0,0,0,0,0,0,0,0
ENSMUSG00000089781,0,0,0,0,0,0,0,0
ENSMUSG00000089782,0,0,0,0,0,0,0,0
ENSMUSG00000089783,0,0,0,1,3,3,2,0
ENSMUSG00000089785,3,23,1,7,1,0,0,3
ENSMUSG00000089787,0,0,0,0,0,0,1,0
ENSMUSG00000089789,0,0,0,0,0,0,0,0
ENSMUSG00000089790,0,0,0,0,0,0,0,0
ENSMUSG00000089791,0,0,0,0,0,0,0,0
ENSMUSG00000089792,0,0,0,0,0,0,0,0
ENSMUSG00000089793,0,0,0,0,0,0,0,0
ENSMUSG00000089794,0,0,0,0,0,0,0,0
ENSMUSG00000089795,0,0,0,0,0,0,0,0
ENSMUSG00000089796,0,0,0,0,0,0,0,0
ENSMUSG00000089797,0,0,0,0,0,0,0,0
ENSMUSG00000089798,0,0,0,0,0,0,0,0
ENSMUSG00000089800,0,0,1,0,1,0,1,0
ENSMUSG00000089802,0,0,0,0,0,0,0,0
ENSMUSG00000089803,1,0,0,0,0,2,0,1
ENSMUSG00000089804,37,57,0,0,73,116,5,12
ENSMUSG00000089806,0,0,0,0,0,0,0,0
ENSMUSG00000089807,0,0,0,0,0,0,0,0
ENSMUSG00000089808,0,2,0,0,0,0,0,0
ENSMUSG00000089809,51,117,59,126,394,631,109,50
ENSMUSG00000089810,0,0,0,0,0,0,0,0
ENSMUSG00000089811,0,0,0,0,0,0,0,0
ENSMUSG00000089812,0,0,0,0,7,1,0,0
ENSMUSG00000089814,0,0,0,0,0,0,0,0
ENSMUSG00000089815,0,0,0,0,0,0,0,0
ENSMUSG00000089816,0,0,0,0,0,0,0,0
ENSMUSG00000089817,0,0,0,0,0,0,0,0
ENSMUSG00000089818,0,0,0,0,0,0,0,0
ENSMUSG00000089819,0,0,0,0,0,0,0,1
ENSMUSG00000089820,0,0,0,0,0,0,0,0
ENSMUSG00000089821,0,0,0,0,0,0,0,0
ENSMUSG00000089822,0,0,0,0,0,0,0,0
ENSMUSG00000089824,0,0,0,0,0,0,0,0
ENSMUSG00000089826,0,0,0,0,0,0,0,0
ENSMUSG00000089827,0,0,0,0,0,0,0,0
ENSMUSG00000089828,0,0,0,0,0,0,0,0
ENSMUSG00000089829,0,0,1,2,5,2,1,3
ENSMUSG00000089830,0,0,0,0,2,1,0,0
ENSMUSG00000089831,0,0,0,0,0,0,0,0
ENSMUSG00000089832,137,213,47,73,268,402,263,239
ENSMUSG00000089833,0,0,0,0,0,0,0,0
ENSMUSG00000089834,0,0,0,0,0,0,0,0
ENSMUSG00000089835,0,0,0,0,0,0,0,0
ENSMUSG00000089836,0,0,0,0,0,0,0,0
ENSMUSG00000089837,1,0,0,0,0,2,0,0
ENSMUSG00000089838,0,0,0,0,0,0,0,0
ENSMUSG00000089839,0,0,0,0,0,0,0,0
ENSMUSG00000089840,1,21,1,0,0,1,6,4
ENSMUSG00000089842,0,0,0,0,0,0,0,0
ENSMUSG00000089844,0,0,0,0,0,0,0,0
ENSMUSG00000089847,0,0,0,0,0,0,0,0
ENSMUSG00000089849,0,0,0,0,0,0,0,0
ENSMUSG00000089851,0,0,0,0,0,0,0,0
ENSMUSG00000089854,0,0,0,0,0,0,0,0
ENSMUSG00000089857,0,0,0,0,0,0,0,0
ENSMUSG00000089859,0,0,0,0,0,0,0,0
ENSMUSG00000089861,0,0,0,0,0,0,0,0
ENSMUSG00000089862,0,0,0,0,0,0,0,0
ENSMUSG00000089865,3,6,1,1,8,8,0,4
ENSMUSG00000089866,0,0,0,0,0,0,0,0
ENSMUSG00000089868,0,0,0,0,0,0,0,0
ENSMUSG00000089870,0,0,0,0,0,0,0,0
ENSMUSG00000089871,1,0,0,0,0,0,0,0
ENSMUSG00000089872,111,154,53,94,195,292,179,146
ENSMUSG00000089873,0,0,2,4,0,0,0,0
